cgpa,placement_exam_marks,placed
6.51,15.0,1
6.49,62.0,0
6.75,11.0,1
6.47,25.0,0
7.09,33.0,1
8.48,25.0,1
7.53,7.0,0
7.09,9.0,0
6.95,64.0,1
7.48,27.0,1
6.27,28.0,1
7.19,18.0,0
6.91,56.0,1
6.46,21.0,0
7.36,34.0,0
6.12,22.0,1
7.23,34.0,0
7.46,52.0,0
7.03,44.0,1
7.91,50.0,0
6.67,32.0,1
6.77,50.0,1
8.43,25.0,1
8.23,28.0,1
5.73,38.0,0
7.54,40.0,1
7.11,14.0,1
7.21,70.0,0
7.36,32.0,0
6.87,48.0,1
7.2,26.0,1
6.48,63.0,0
7.33,32.0,0
7.55,16.0,0
6.23,27.0,0
7.66,44.0,0
6.4,35.0,0
6.74,8.0,0
6.67,38.0,0
6.74,20.0,1
6.42,8.0,1
7.01,5.0,1
7.36,15.0,0
6.89,53.0,1
6.86,19.0,0
7.23,21.0,1
7.22,19.0,1
7.1,28.0,1
5.65,35.0,1
6.29,58.0,1
7.22,12.0,0
7.04,57.0,0
6.46,74.0,0
6.5,16.0,0
7.55,48.0,0
6.6,38.0,0
6.6,8.0,1
6.88,11.0,1
7.68,23.0,1
7.3,23.0,1
6.74,5.0,0
7.65,49.0,0
7.33,52.0,1
7.73,50.0,1
7.92,42.0,1
7.33,36.0,0
5.86,56.0,0
7.12,31.0,1
7.26,16.0,0
6.17,53.0,0
7.34,32.0,0
6.9,54.0,0
6.08,19.0,1
7.4,13.0,1
6.13,19.0,0
7.75,94.0,1
7.28,34.0,1
6.55,54.0,1
7.12,44.0,1
6.23,24.0,1
7.58,14.0,1
8.14,20.0,1
6.71,16.0,1
8.38,87.0,0
7.36,14.0,0
6.49,21.0,0
7.61,40.0,0
6.21,37.0,0
7.03,19.0,0
6.65,33.0,1
7.95,12.0,0
6.02,60.0,0
6.52,31.0,0
6.28,37.0,1
7.25,21.0,1
6.73,70.0,0
8.12,37.0,1
7.89,46.0,0
7.12,39.0,1
