iter	Passed	Remaining
0	0	565
1	1	532
2	1	520
3	2	519
4	2	514
5	3	506
6	3	544
7	4	536
8	4	526
9	5	553
10	6	542
11	6	561
12	7	551
13	7	543
14	8	538
15	8	532
16	9	525
17	9	519
18	9	515
19	10	514
20	10	512
21	11	511
22	11	508
23	12	504
24	12	500
25	13	499
26	13	496
27	14	495
28	14	492
29	15	489
30	15	486
31	15	483
32	16	481
33	16	478
34	17	477
35	17	477
36	18	475
37	18	472
38	19	470
39	19	469
40	20	473
41	20	472
42	21	470
43	21	469
44	22	468
45	22	466
46	23	466
47	23	465
48	23	464
49	24	462
50	24	461
51	25	459
52	25	458
53	26	457
54	26	456
55	26	454
56	27	453
57	27	451
58	28	450
59	28	449
60	29	448
61	29	447
62	30	446
63	30	445
64	30	444
65	31	443
66	31	442
67	32	441
68	32	440
69	33	439
70	33	438
71	33	437
72	34	437
73	34	437
74	35	436
75	35	435
76	36	435
77	36	434
78	37	433
79	37	432
80	38	431
81	38	430
82	38	429
83	39	428
84	39	427
85	40	427
86	40	426
87	41	426
88	41	426
89	42	425
90	42	424
91	42	423
92	43	422
93	43	422
94	44	421
95	44	420
96	45	419
97	45	418
98	45	418
99	46	417
100	46	416
101	47	416
102	47	415
103	48	415
104	48	415
105	49	414
106	49	414
107	50	413
108	50	413
109	50	412
110	51	411
111	51	411
112	52	410
113	52	410
114	53	409
115	53	408
116	54	408
117	54	407
118	55	407
119	55	406
120	55	405
121	56	405
122	56	405
123	57	404
124	57	404
125	58	403
126	58	403
127	59	402
128	59	402
129	60	401
130	60	400
131	60	400
132	61	399
133	61	399
134	62	398
135	62	398
136	63	397
137	63	397
138	64	397
139	64	396
140	65	396
141	65	395
142	65	395
143	66	394
144	66	394
145	67	393
146	68	399
147	69	399
148	69	398
149	70	397
150	70	397
151	71	396
152	71	395
153	71	395
154	72	394
155	72	393
156	73	392
157	73	391
158	73	391
159	74	392
160	75	391
161	75	391
162	76	390
163	76	389
164	76	389
165	77	388
166	77	388
167	78	387
168	78	386
169	79	386
170	79	385
171	79	384
172	80	384
173	80	384
174	81	383
175	81	383
176	82	382
177	82	381
178	83	381
179	83	380
180	83	380
181	84	379
182	85	379
183	85	378
184	85	378
185	86	377
186	86	377
187	87	376
188	87	376
189	88	375
190	88	376
191	89	375
192	89	374
193	90	374
194	90	373
195	90	373
196	91	372
197	91	371
198	92	371
199	92	370
200	93	370
201	93	369
202	94	369
203	94	368
204	94	368
205	95	367
206	95	367
207	96	366
208	96	366
209	97	365
210	97	364
